Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: GAMES__CABIN
Time: 20 to 21 | Activity: ARTS__CABIN
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: GAMES__CABIN
Time: 11 to 12 | Activity: PUMPKIN__FIELD
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: DINNER__CABIN
Time: 14 to 15 | Activity: TAXES__LIBRARY
Time: 15 to 16 | Activity: SANTA__CABIN
Time: 16 to 17 | Activity: SWIMMING__POOL
Time: 17 to 18 | Activity: PHILOSOPHICAL_DISCUSSION__LIBRARY
Time: 13 to 14 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: SUPER_HAPPY__EVERYWHERE
Time: 20 to 21 | Activity: VALENTINES__CABIN
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: SUPER_HAPPY__EVERYWHERE
Time: 11 to 12 | Activity: ROPES__FUN_ZONE
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: SWIMMING__POOL
Time: 14 to 15 | Activity: PUMPKIN__FIELD
Time: 15 to 16 | Activity: TAXES__LIBRARY
Time: 16 to 17 | Activity: JUMPING__FIELD
Time: 17 to 18 | Activity: RUNNING__TRACK
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: LAUNDRY__CABIN
Time: 20 to 21 | Activity: LIFE_ADVICE__CABIN
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: JUMPING__FIELD
Time: 11 to 12 | Activity: TAXES__LIBRARY
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: WALKING__TRACK
Time: 14 to 15 | Activity: GAMES__CABIN
Time: 15 to 16 | Activity: ARTS__CABIN
Time: 16 to 17 | Activity: SLEEP__CABIN
Time: 17 to 18 | Activity: LIFE_ADVICE__CABIN
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: CRAFTS__CABIN
Time: 20 to 21 | Activity: THROW_STICKS__FIELD
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: GROCERIES__MARKET
Time: 11 to 12 | Activity: GAMES__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: DISHES__CABIN
Time: 14 to 15 | Activity: DINNER__CABIN
Time: 15 to 16 | Activity: JOGGING__TRACK
Time: 16 to 17 | Activity: PUMPKIN__FIELD
Time: 17 to 18 | Activity: SLEEP__CABIN
Time: 14 to 15 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: TAXES__LIBRARY
Time: 20 to 21 | Activity: SANTA__CABIN
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: DISHES__CABIN
Time: 11 to 12 | Activity: WALKING__TRACK
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: PUMPKIN__FIELD
Time: 14 to 15 | Activity: CRAFTS__CABIN
Time: 15 to 16 | Activity: PHILOSOPHICAL_DISCUSSION__LIBRARY
Time: 16 to 17 | Activity: TAXES__LIBRARY
Time: 17 to 18 | Activity: SWIMMING__POOL
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 20 to 21 | Activity: SUPER_HAPPY__EVERYWHERE

Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: EAT_CANDY__CABIN
Time: 11 to 12 | Activity: GROCERIES__MARKET
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: ROPES__FUN_ZONE
Time: 14 to 15 | Activity: LAUNDRY__CABIN
Time: 15 to 16 | Activity: JOGGING__TRACK
Time: 16 to 17 | Activity: PUMPKIN__FIELD
Time: 17 to 18 | Activity: SLIP_N_SLIDE__CABIN
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: TAXES__LIBRARY
Time: 20 to 21 | Activity: GAMES__CABIN
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: ROPES__FUN_ZONE
Time: 11 to 12 | Activity: EAT_CANDY__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: GAMES__CABIN
Time: 14 to 15 | Activity: THROW_STICKS__FIELD
Time: 15 to 16 | Activity: CRAFTS__CABIN
Time: 16 to 17 | Activity: WALKING__TRACK
Time: 17 to 18 | Activity: RUNNING__TRACK
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: SUPER_HAPPY__EVERYWHERE
Time: 20 to 21 | Activity: ARCHERY__FIELD
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: LIFE_ADVICE__CABIN
Time: 11 to 12 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: ARTS__CABIN
Time: 14 to 15 | Activity: PHILOSOPHICAL_DISCUSSION__LIBRARY
Time: 15 to 16 | Activity: PUMPKIN__FIELD
Time: 16 to 17 | Activity: LAUNDRY__CABIN
Time: 17 to 18 | Activity: CRAFTS__CABIN
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: WALKING__TRACK
Time: 20 to 21 | Activity: SLEEP__CABIN
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: PUMPKIN__FIELD
Time: 11 to 12 | Activity: RUNNING__TRACK
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 14 to 15 | Activity: SANTA__CABIN
Time: 15 to 16 | Activity: LIFE_ADVICE__CABIN
Time: 16 to 17 | Activity: TAXES__LIBRARY
Time: 17 to 18 | Activity: PHILOSOPHICAL_DISCUSSION__LIBRARY
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: SWIMMING__POOL
Time: 20 to 21 | Activity: GAMES__CABIN
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: PUMPKIN__FIELD
Time: 11 to 12 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: ROPES__FUN_ZONE
Time: 14 to 15 | Activity: EAT_CANDY__CABIN
Time: 15 to 16 | Activity: SWIMMING__POOL
Time: 16 to 17 | Activity: ARTS__CABIN
Time: 17 to 18 | Activity: TAXES__LIBRARY
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: GAMES__CABIN
Time: 20 to 21 | Activity: LIFE_ADVICE__CABIN
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: SUPER_HAPPY__EVERYWHERE
Time: 11 to 12 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: WALKING__TRACK
Time: 14 to 15 | Activity: JOGGING__TRACK
Time: 15 to 16 | Activity: EAT_CANDY__CABIN
Time: 16 to 17 | Activity: SLEEP__CABIN
Time: 17 to 18 | Activity: GROCERIES__MARKET
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: THROW_STICKS__FIELD
Time: 20 to 21 | Activity: CRAFTS__CABIN
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: THROW_STICKS__FIELD
Time: 11 to 12 | Activity: SANTA__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: ARTS__CABIN
Time: 14 to 15 | Activity: JOGGING__TRACK
Time: 15 to 16 | Activity: DISHES__CABIN
Time: 16 to 17 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 17 to 18 | Activity: SUPER_HAPPY__EVERYWHERE
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: CRAFTS__CABIN
Time: 20 to 21 | Activity: ARCHERY__FIELD

