Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 10 to 11 | Activity: SANTA
Time: 11 to 12 | Activity: GAMES
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: TAXES
Time: 14 to 15 | Activity: PUMPKIN
Time: 15 to 16 | Activity: DISHES
Time: 16 to 17 | Activity: EAT_CANDY
Time: 17 to 18 | Activity: ROPES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: FRIENDLY_CONVERSATION
Time: 20 to 21 | Activity: SWIMMING

Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: ROPES
Time: 11 to 12 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: JUMPING
Time: 14 to 15 | Activity: TAXES
Time: 15 to 16 | Activity: DINNER
Time: 16 to 17 | Activity: SUPER_HAPPY
Time: 17 to 18 | Activity: SWIMMING
Time: 15 to 16 | Activity: DINNER
Time: 19 to 20 | Activity: GAMES
Time: 20 to 21 | Activity: FRIENDLY_CONVERSATION
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: GROCERIES
Time: 11 to 12 | Activity: SANTA
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: DINNER
Time: 14 to 15 | Activity: ROPES
Time: 15 to 16 | Activity: JOGGING
Time: 16 to 17 | Activity: ARTS
Time: 17 to 18 | Activity: TAXES
Time: 13 to 14 | Activity: DINNER
Time: 19 to 20 | Activity: ARCHERY
Time: 20 to 21 | Activity: SLEEP
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: DISHES
Time: 11 to 12 | Activity: SLIP_N_SLIDE
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: SANTA
Time: 14 to 15 | Activity: SLEEP
Time: 15 to 16 | Activity: TAXES
Time: 16 to 17 | Activity: ARTS
Time: 17 to 18 | Activity: GROCERIES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: THROW_STICKS
Time: 20 to 21 | Activity: SUPER_HAPPY
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: WALKING
Time: 11 to 12 | Activity: SUPER_HAPPY
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: DISHES
Time: 14 to 15 | Activity: PUMPKIN
Time: 15 to 16 | Activity: ARCHERY
Time: 16 to 17 | Activity: TAXES
Time: 17 to 18 | Activity: SANTA
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: RUNNING
Time: 20 to 21 | Activity: JOGGING
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: SLIP_N_SLIDE
Time: 11 to 12 | Activity: RUNNING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: ROPES
Time: 14 to 15 | Activity: SANTA
Time: 15 to 16 | Activity: DINNER
Time: 16 to 17 | Activity: THROW_STICKS
Time: 17 to 18 | Activity: LAUNDRY
Time: 15 to 16 | Activity: DINNER
Time: 19 to 20 | Activity: GROCERIES
Time: 20 to 21 | Activity: TAXES
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: ARCHERY
Time: 11 to 12 | Activity: FRIENDLY_CONVERSATION
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: PUMPKIN
Time: 14 to 15 | Activity: LAUNDRY
Time: 15 to 16 | Activity: WALKING
Time: 16 to 17 | Activity: SLEEP
Time: 17 to 18 | Activity: EAT_CANDY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: ARTS
Time: 20 to 21 | Activity: RUNNING
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: JOGGING
Time: 11 to 12 | Activity: THROW_STICKS
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: DINNER
Time: 14 to 15 | Activity: ARTS
Time: 15 to 16 | Activity: LIFE_ADVICE
Time: 16 to 17 | Activity: ARCHERY
Time: 17 to 18 | Activity: FRIENDLY_CONVERSATION
Time: 13 to 14 | Activity: DINNER
Time: 19 to 20 | Activity: DISHES
Time: 20 to 21 | Activity: SLIP_N_SLIDE

Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: LUNCH
Time: 11 to 12 | Activity: LIFE_ADVICE
Time: 10 to 11 | Activity: LUNCH
Time: 13 to 14 | Activity: SLEEP
Time: 14 to 15 | Activity: SWIMMING
Time: 15 to 16 | Activity: DINNER
Time: 16 to 17 | Activity: CRAFTS
Time: 17 to 18 | Activity: THROW_STICKS
Time: 15 to 16 | Activity: DINNER
Time: 19 to 20 | Activity: ARTS
Time: 20 to 21 | Activity: ARCHERY
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: THROW_STICKS
Time: 11 to 12 | Activity: JUMPING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: DISHES
Time: 14 to 15 | Activity: FRIENDLY_CONVERSATION
Time: 15 to 16 | Activity: LIFE_ADVICE
Time: 16 to 17 | Activity: SWIMMING
Time: 17 to 18 | Activity: ARCHERY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: JOGGING
Time: 20 to 21 | Activity: SLIP_N_SLIDE
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 11 to 12 | Activity: TAXES
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: SWIMMING
Time: 14 to 15 | Activity: VALENTINES
Time: 15 to 16 | Activity: ROPES
Time: 16 to 17 | Activity: WALKING
Time: 17 to 18 | Activity: JUMPING
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: CRAFTS
Time: 20 to 21 | Activity: SLEEP
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: ROPES
Time: 11 to 12 | Activity: CRAFTS
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: EAT_CANDY
Time: 14 to 15 | Activity: RUNNING
Time: 15 to 16 | Activity: LIFE_ADVICE
Time: 16 to 17 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 17 to 18 | Activity: PUMPKIN
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: DISHES
Time: 20 to 21 | Activity: ARCHERY
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: LUNCH
Time: 11 to 12 | Activity: LAUNDRY
Time: 10 to 11 | Activity: LUNCH
Time: 13 to 14 | Activity: VALENTINES
Time: 14 to 15 | Activity: JOGGING
Time: 15 to 16 | Activity: FRIENDLY_CONVERSATION
Time: 16 to 17 | Activity: DINNER
Time: 17 to 18 | Activity: SLEEP
Time: 16 to 17 | Activity: DINNER
Time: 19 to 20 | Activity: DISHES
Time: 20 to 21 | Activity: CRAFTS
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: WALKING
Time: 11 to 12 | Activity: JUMPING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: GROCERIES
Time: 14 to 15 | Activity: LAUNDRY
Time: 15 to 16 | Activity: VALENTINES
Time: 16 to 17 | Activity: SANTA
Time: 17 to 18 | Activity: TAXES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 20 to 21 | Activity: DISHES
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: TAXES
Time: 11 to 12 | Activity: ARTS
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: LAUNDRY
Time: 14 to 15 | Activity: WALKING
Time: 15 to 16 | Activity: FRIENDLY_CONVERSATION
Time: 16 to 17 | Activity: ARCHERY
Time: 17 to 18 | Activity: EAT_CANDY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: RUNNING
Time: 20 to 21 | Activity: GAMES

Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: FRIENDLY_CONVERSATION
Time: 11 to 12 | Activity: THROW_STICKS
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: VALENTINES
Time: 14 to 15 | Activity: LAUNDRY
Time: 15 to 16 | Activity: ARTS
Time: 16 to 17 | Activity: SWIMMING
Time: 17 to 18 | Activity: SLEEP
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: CRAFTS
Time: 20 to 21 | Activity: SLIP_N_SLIDE
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: ROPES
Time: 11 to 12 | Activity: JUMPING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: SUPER_HAPPY
Time: 14 to 15 | Activity: SANTA
Time: 15 to 16 | Activity: FRIENDLY_CONVERSATION
Time: 16 to 17 | Activity: GROCERIES
Time: 17 to 18 | Activity: THROW_STICKS
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: PUMPKIN
Time: 20 to 21 | Activity: LIFE_ADVICE
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: LUNCH
Time: 11 to 12 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 10 to 11 | Activity: LUNCH
Time: 13 to 14 | Activity: LIFE_ADVICE
Time: 14 to 15 | Activity: DINNER
Time: 15 to 16 | Activity: ROPES
Time: 16 to 17 | Activity: SWIMMING
Time: 17 to 18 | Activity: CRAFTS
Time: 14 to 15 | Activity: DINNER
Time: 19 to 20 | Activity: FRIENDLY_CONVERSATION
Time: 20 to 21 | Activity: GROCERIES
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: WALKING
Time: 11 to 12 | Activity: ARCHERY
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: PUMPKIN
Time: 14 to 15 | Activity: SLIP_N_SLIDE
Time: 15 to 16 | Activity: SUPER_HAPPY
Time: 16 to 17 | Activity: ARTS
Time: 17 to 18 | Activity: VALENTINES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 20 to 21 | Activity: DISHES
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: EAT_CANDY
Time: 11 to 12 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: JOGGING
Time: 14 to 15 | Activity: ARCHERY
Time: 15 to 16 | Activity: PUMPKIN
Time: 16 to 17 | Activity: JUMPING
Time: 17 to 18 | Activity: LAUNDRY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: ARTS
Time: 20 to 21 | Activity: SUPER_HAPPY
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: VALENTINES
Time: 11 to 12 | Activity: LIFE_ADVICE
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: RUNNING
Time: 14 to 15 | Activity: FRIENDLY_CONVERSATION
Time: 15 to 16 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 16 to 17 | Activity: ROPES
Time: 17 to 18 | Activity: SUPER_HAPPY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: SLIP_N_SLIDE
Time: 20 to 21 | Activity: EAT_CANDY
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: SANTA
Time: 11 to 12 | Activity: ARTS
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: ARCHERY
Time: 14 to 15 | Activity: ROPES
Time: 15 to 16 | Activity: DISHES
Time: 16 to 17 | Activity: RUNNING
Time: 17 to 18 | Activity: SLEEP
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: FRIENDLY_CONVERSATION
Time: 20 to 21 | Activity: GROCERIES

Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: GROCERIES
Time: 11 to 12 | Activity: RUNNING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: DISHES
Time: 14 to 15 | Activity: ARCHERY
Time: 15 to 16 | Activity: SANTA
Time: 16 to 17 | Activity: SLIP_N_SLIDE
Time: 17 to 18 | Activity: EAT_CANDY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: SLEEP
Time: 20 to 21 | Activity: TAXES
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: EAT_CANDY
Time: 11 to 12 | Activity: DISHES
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: ARTS
Time: 14 to 15 | Activity: RUNNING
Time: 15 to 16 | Activity: CRAFTS
Time: 16 to 17 | Activity: SLIP_N_SLIDE
Time: 17 to 18 | Activity: PUMPKIN
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: ROPES
Time: 20 to 21 | Activity: SLEEP
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: LIFE_ADVICE
Time: 11 to 12 | Activity: JOGGING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: ARCHERY
Time: 14 to 15 | Activity: GAMES
Time: 15 to 16 | Activity: RUNNING
Time: 16 to 17 | Activity: LAUNDRY
Time: 17 to 18 | Activity: WALKING
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: ARTS
Time: 20 to 21 | Activity: DISHES
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: TAXES
Time: 11 to 12 | Activity: FRIENDLY_CONVERSATION
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: ROPES
Time: 14 to 15 | Activity: SWIMMING
Time: 15 to 16 | Activity: JUMPING
Time: 16 to 17 | Activity: PUMPKIN
Time: 17 to 18 | Activity: SANTA
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: LIFE_ADVICE
Time: 20 to 21 | Activity: LAUNDRY
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: EAT_CANDY
Time: 11 to 12 | Activity: DINNER
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: FRIENDLY_CONVERSATION
Time: 14 to 15 | Activity: DISHES
Time: 15 to 16 | Activity: PUMPKIN
Time: 16 to 17 | Activity: ROPES
Time: 17 to 18 | Activity: SLEEP
Time: 11 to 12 | Activity: DINNER
Time: 19 to 20 | Activity: CRAFTS
Time: 20 to 21 | Activity: ARTS
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: ROPES
Time: 11 to 12 | Activity: WALKING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: ARCHERY
Time: 14 to 15 | Activity: THROW_STICKS
Time: 15 to 16 | Activity: RUNNING
Time: 16 to 17 | Activity: JOGGING
Time: 17 to 18 | Activity: GAMES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: SANTA
Time: 20 to 21 | Activity: ARTS
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: SLEEP
Time: 11 to 12 | Activity: JOGGING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: SLIP_N_SLIDE
Time: 14 to 15 | Activity: FRIENDLY_CONVERSATION
Time: 15 to 16 | Activity: TAXES
Time: 16 to 17 | Activity: RUNNING
Time: 17 to 18 | Activity: VALENTINES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: WALKING
Time: 20 to 21 | Activity: SWIMMING

Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: DISHES
Time: 11 to 12 | Activity: WALKING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: THROW_STICKS
Time: 14 to 15 | Activity: EAT_CANDY
Time: 15 to 16 | Activity: VALENTINES
Time: 16 to 17 | Activity: TAXES
Time: 17 to 18 | Activity: SUPER_HAPPY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: SLIP_N_SLIDE
Time: 20 to 21 | Activity: CRAFTS
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: LUNCH
Time: 11 to 12 | Activity: PUMPKIN
Time: 10 to 11 | Activity: LUNCH
Time: 13 to 14 | Activity: SUPER_HAPPY
Time: 14 to 15 | Activity: SWIMMING
Time: 15 to 16 | Activity: LIFE_ADVICE
Time: 16 to 17 | Activity: DISHES
Time: 17 to 18 | Activity: VALENTINES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: LAUNDRY
Time: 20 to 21 | Activity: WALKING
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: WALKING
Time: 11 to 12 | Activity: VALENTINES
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: PUMPKIN
Time: 14 to 15 | Activity: LAUNDRY
Time: 15 to 16 | Activity: SWIMMING
Time: 16 to 17 | Activity: EAT_CANDY
Time: 17 to 18 | Activity: GAMES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: CRAFTS
Time: 20 to 21 | Activity: ARCHERY
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: DISHES
Time: 11 to 12 | Activity: SLIP_N_SLIDE
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: VALENTINES
Time: 14 to 15 | Activity: ARTS
Time: 15 to 16 | Activity: LAUNDRY
Time: 16 to 17 | Activity: SLEEP
Time: 17 to 18 | Activity: FRIENDLY_CONVERSATION
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: SUPER_HAPPY
Time: 20 to 21 | Activity: SWIMMING
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: LUNCH
Time: 11 to 12 | Activity: FRIENDLY_CONVERSATION
Time: 10 to 11 | Activity: LUNCH
Time: 13 to 14 | Activity: LIFE_ADVICE
Time: 14 to 15 | Activity: ROPES
Time: 15 to 16 | Activity: EAT_CANDY
Time: 16 to 17 | Activity: THROW_STICKS
Time: 17 to 18 | Activity: TAXES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: DISHES
Time: 20 to 21 | Activity: WALKING
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: SLEEP
Time: 11 to 12 | Activity: LIFE_ADVICE
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: SANTA
Time: 14 to 15 | Activity: WALKING
Time: 15 to 16 | Activity: DISHES
Time: 16 to 17 | Activity: FRIENDLY_CONVERSATION
Time: 17 to 18 | Activity: LAUNDRY
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: ARTS
Time: 20 to 21 | Activity: TAXES
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: SLIP_N_SLIDE
Time: 11 to 12 | Activity: THROW_STICKS
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: FRIENDLY_CONVERSATION
Time: 14 to 15 | Activity: SLEEP
Time: 15 to 16 | Activity: LIFE_ADVICE
Time: 16 to 17 | Activity: DISHES
Time: 17 to 18 | Activity: VALENTINES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: PUMPKIN
Time: 20 to 21 | Activity: TAXES

Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: DINNER
Time: 11 to 12 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: FRIENDLY_CONVERSATION
Time: 14 to 15 | Activity: PUMPKIN
Time: 15 to 16 | Activity: CRAFTS
Time: 16 to 17 | Activity: ARTS
Time: 17 to 18 | Activity: TAXES
Time: 10 to 11 | Activity: DINNER
Time: 19 to 20 | Activity: WALKING
Time: 20 to 21 | Activity: SLIP_N_SLIDE
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: ROPES
Time: 11 to 12 | Activity: JOGGING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: ARTS
Time: 14 to 15 | Activity: PUMPKIN
Time: 15 to 16 | Activity: GROCERIES
Time: 16 to 17 | Activity: RUNNING
Time: 17 to 18 | Activity: SLIP_N_SLIDE
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: FRIENDLY_CONVERSATION
Time: 20 to 21 | Activity: LAUNDRY
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: WALKING
Time: 11 to 12 | Activity: PUMPKIN
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: LIFE_ADVICE
Time: 14 to 15 | Activity: THROW_STICKS
Time: 15 to 16 | Activity: RUNNING
Time: 16 to 17 | Activity: SUPER_HAPPY
Time: 17 to 18 | Activity: CRAFTS
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: ARTS
Time: 20 to 21 | Activity: ARCHERY
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: WALKING
Time: 11 to 12 | Activity: DISHES
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: EAT_CANDY
Time: 14 to 15 | Activity: RUNNING
Time: 15 to 16 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 16 to 17 | Activity: ARTS
Time: 17 to 18 | Activity: DINNER
Time: 17 to 18 | Activity: DINNER
Time: 19 to 20 | Activity: ROPES
Time: 20 to 21 | Activity: ARCHERY
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
